label,consensus_count,unanimous_count,retention,ipw_weight,test_support,Consensus predicted,Consensus recall,Consensus f1,Unanimous predicted,Unanimous recall,Unanimous f1,Unanimous-IPW predicted,Unanimous-IPW recall,Unanimous-IPW f1
childabuse_endangerment_ongoing,39,15,0.3846153846153846,1.8266875421567754,9,12,0.5555555555555556,0.4761904761904762,3,0.2222222222222222,0.3333333333333333,6,0.4444444444444444,0.5333333333333333
suicideideation_active_past,60,24,0.4,1.7564303289968994,11,16,0.9090909090909091,0.7407407407407406,12,0.7272727272727273,0.6956521739130435,11,0.8181818181818182,0.8181818181818182
suicideideation_passive_past,14,6,0.42857142857142855,1.6393349737304397,4,5,0.75,0.6666666666666665,6,0.5,0.4,4,0.5,0.5
childabuse_endangerment_past,143,66,0.46153846153846156,1.5222396184639795,31,37,0.6451612903225806,0.588235294117647,32,0.5806451612903226,0.5714285714285715,34,0.5806451612903226,0.5538461538461539
rape_ongoing,55,31,0.5636363636363636,1.24649894315909,11,15,0.7272727272727273,0.6153846153846153,14,0.7272727272727273,0.64,14,0.7272727272727273,0.64
sexualharassment_past,156,90,0.5769230769230769,1.2177916947711838,38,33,0.7105263157894737,0.7605633802816901,39,0.7894736842105263,0.7792207792207793,36,0.7368421052631579,0.7567567567567567
selfharm_past,214,127,0.5934579439252337,1.1838617020640518,30,24,0.6666666666666666,0.7407407407407408,26,0.6666666666666666,0.7142857142857142,26,0.7333333333333333,0.7857142857142856
sexualharassment_ongoing,219,131,0.5981735159817352,1.1745289833597587,25,38,1.0,0.7936507936507937,31,0.92,0.8214285714285714,33,0.96,0.8275862068965517
domesticviolence_past,267,168,0.6292134831460674,1.1165878520051717,33,30,0.7272727272727273,0.761904761904762,34,0.8484848484848485,0.8358208955223881,35,0.8484848484848485,0.823529411764706
domesticviolence_ongoing,233,150,0.6437768240343348,1.091328711083407,25,37,0.88,0.7096774193548386,34,0.84,0.711864406779661,37,0.92,0.7419354838709677
suicideideation_active_ongoing,434,282,0.6497695852534563,1.0812634933115663,54,54,0.8703703703703703,0.8703703703703703,53,0.9074074074074074,0.9158878504672898,57,0.9074074074074074,0.8828828828828829
suicideideation_passive_ongoing,600,411,0.685,1.0256527468595034,77,82,0.8441558441558441,0.8176100628930817,81,0.8831168831168831,0.860759493670886,80,0.8441558441558441,0.8280254777070064
selfharm_ongoing,703,488,0.6941678520625889,1.0121069846596888,74,90,0.9864864864864865,0.8902439024390244,91,0.9459459459459459,0.8484848484848485,88,0.9864864864864865,0.9012345679012347
rape_past,352,248,0.7045454545454545,0.997199154527272,62,60,0.8870967741935484,0.9016393442622951,63,0.8870967741935484,0.88,63,0.8870967741935484,0.88
no_crisis,1160,1020,0.8793103448275862,0.7990036006417268,186,165,0.8225806451612904,0.8717948717948718,159,0.8010752688172043,0.863768115942029,158,0.7956989247311828,0.8604651162790697
